Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
0,Tracy McGrady,Orlando Magic,East,"Apr 13, 2003",GF,6-8,210,23,1997,5,2002-2003,2003,0.5
0,Shawn Marion,Phoenix Suns,West,"Apr 13, 2003",F,6-7,228,24,1999,3,2002-2003,2003,0.5
0,Jason Kidd,New Jersey Nets,East,"Apr 6, 2003",PG,6-4,210,29,1994,8,2002-2003,2003,0.5
0,Shaquille O'Neal,Los Angeles Lakers,West,"Apr 6, 2003",C,7-1,325,30,1992,10,2002-2003,2003,0.5
0,Richard Jefferson,New Jersey Nets,East,"Mar 30, 2003",SF,6-7,233,22,2001,1,2002-2003,2003,0.5
0,Tim Duncan,San Antonio Spurs,West,"Mar 30, 2003",FC,6-11,250,26,1997,5,2002-2003,2003,0.5
0,Ben Wallace,Detroit Pistons,East,"Mar 23, 2003",FC,6-9,240,28,1996,6,2002-2003,2003,0.5
0,Peja Stojakovic,Sacramento Kings,West,"Mar 23, 2003",F,6-10,229,25,1996,4,2002-2003,2003,0.5
0,Allen Iverson,Philadelphia Sixers,East,"Mar 16, 2003",G,6-0,165,27,1996,6,2002-2003,2003,0.5
0,Steve Francis,Houston Rockets,West,"Mar 16, 2003",G,6-3,195,26,1999,3,2002-2003,2003,0.5
0,Tracy McGrady,Orlando Magic,East,"Mar 9, 2003",GF,6-8,210,23,1997,5,2002-2003,2003,0.5
0,Shaquille O'Neal,Los Angeles Lakers,West,"Mar 9, 2003",C,7-1,325,30,1992,10,2002-2003,2003,0.5
0,Michael Jordan,Washington Wizards,East,"Mar 2, 2003",SG,6-6,215,40,1984,14,2002-2003,2003,0.5
0,Ray Allen,Seattle SuperSonics,West,"Mar 2, 2003",SG,6-5,205,27,1996,6,2002-2003,2003,0.5
0,Tracy McGrady,Orlando Magic,East,"Feb 23, 2003",GF,6-8,210,23,1997,5,2002-2003,2003,0.5
0,Kobe Bryant,Los Angeles Lakers,West,"Feb 23, 2003",SG,6-6,212,24,1996,6,2002-2003,2003,0.5
0,Allan Houston,New York Knicks,East,"Feb 16, 2003",G,6-6,205,31,1993,9,2002-2003,2003,0.5
0,Tim Duncan,San Antonio Spurs,West,"Feb 16, 2003",FC,6-11,250,26,1997,5,2002-2003,2003,0.5
0,Chauncey Billups,Detroit Pistons,East,"Feb 2, 2003",G,6-3,210,26,1997,5,2002-2003,2003,0.5
0,Kobe Bryant,Los Angeles Lakers,West,"Feb 2, 2003",SG,6-6,212,24,1996,6,2002-2003,2003,0.5
0,Paul Pierce,Boston Celtics,East,"Jan 26, 2003",SF,6-7,235,25,1998,4,2002-2003,2003,0.5
0,Tim Duncan,San Antonio Spurs,West,"Jan 26, 2003",FC,6-11,250,26,1997,5,2002-2003,2003,0.5
0,Antoine Walker,Boston Celtics,East,"Jan 19, 2003",F,6-9,265,26,1996,6,2002-2003,2003,0.5
0,Steve Francis,Houston Rockets,West,"Jan 19, 2003",G,6-3,195,26,1999,3,2002-2003,2003,0.5
0,Jermaine O'Neal,Indiana Pacers,East,"Jan 12, 2003",FC,6-11,235,24,1996,6,2002-2003,2003,0.5
0,Kobe Bryant,Los Angeles Lakers,West,"Jan 12, 2003",SG,6-6,212,24,1996,6,2002-2003,2003,0.5
0,Stephon Marbury,Phoenix Suns,West,"Jan 12, 2003",G,6-2,180,26,1996,6,2002-2003,2003,0.5
0,Michael Jordan,Washington Wizards,East,"Jan 5, 2003",SG,6-6,215,40,1984,14,2002-2003,2003,0.5
0,Dirk Nowitzki,Dallas Mavericks,West,"Jan 5, 2003",PF,7-0,245,24,1998,4,2002-2003,2003,0.5
0,Lucious Harris,New Jersey Nets,East,"Dec 29, 2002",SG,6-5,190,32,1993,9,2002-2003,2003,0.5
0,Tim Duncan,San Antonio Spurs,West,"Dec 29, 2002",FC,6-11,250,26,1997,5,2002-2003,2003,0.5
0,Jason Kidd,New Jersey Nets,East,"Dec 22, 2002",PG,6-4,210,29,1994,8,2002-2003,2003,0.5
0,Tim Duncan,San Antonio Spurs,West,"Dec 22, 2002",FC,6-11,250,26,1997,5,2002-2003,2003,0.5
0,Antoine Walker,Boston Celtics,East,"Dec 15, 2002",F,6-9,265,26,1996,6,2002-2003,2003,0.5
0,Chris Webber,Sacramento Kings,West,"Dec 15, 2002",F-C,6-9,245,29,1993,9,2002-2003,2003,0.5
0,Paul Pierce,Boston Celtics,East,"Dec 8, 2002",SF,6-7,235,25,1998,4,2002-2003,2003,0.5
0,Kobe Bryant,Los Angeles Lakers,West,"Dec 8, 2002",SG,6-6,212,24,1996,6,2002-2003,2003,0.5
0,Allen Iverson,Philadelphia Sixers,East,"Dec 1, 2002",G,6-0,165,27,1996,6,2002-2003,2003,0.5
0,Stephon Marbury,Phoenix Suns,West,"Dec 1, 2002",G,6-2,180,26,1996,6,2002-2003,2003,0.5
0,Allen Iverson,Philadelphia Sixers,East,"Nov 24, 2002",G,6-0,165,27,1996,6,2002-2003,2003,0.5
0,Kevin Garnett,Minnesota Timberwolves,West,"Nov 24, 2002",PF,6-11,240,26,1995,7,2002-2003,2003,0.5
0,Metta World Peace,Indiana Pacers,East,"Nov 17, 2002",SF,6-7,260,23,1999,3,2002-2003,2003,0.5
0,Rashard Lewis,Seattle SuperSonics,West,"Nov 17, 2002",F,6-10,235,23,1998,4,2002-2003,2003,0.5
0,Jerry Stackhouse,Washington Wizards,East,"Nov 10, 2002",SF,6-6,218,28,1995,7,2002-2003,2003,0.5
0,Dirk Nowitzki,Dallas Mavericks,West,"Nov 10, 2002",PF,7-0,245,24,1998,4,2002-2003,2003,0.5
0,Glenn Robinson,Atlanta Hawks,East,"Nov 3, 2002",SF,6-7,225,30,1994,8,2002-2003,2003,0.5
0,Kobe Bryant,Los Angeles Lakers,West,"Nov 3, 2002",SG,6-6,212,24,1996,6,2002-2003,2003,0.5
0,Jamaal Magloire,New Orleans Hornets,East,"Apr 12, 2004",C,6-11,259,25,2000,3,2003-2004,2004,0.5
0,Carmelo Anthony,Denver Nuggets,West,"Apr 12, 2004",F,6-8,240,19,2003,0,2003-2004,2004,0.5
0,Richard Jefferson,New Jersey Nets,East,"Apr 5, 2004",SF,6-7,233,23,2001,2,2003-2004,2004,0.5
0,Dirk Nowitzki,Dallas Mavericks,West,"Apr 5, 2004",PF,7-0,245,25,1998,5,2003-2004,2004,0.5
0,Metta World Peace,Indiana Pacers,East,"Mar 29, 2004",SF,6-7,260,24,1999,4,2003-2004,2004,0.5
0,Kobe Bryant,Los Angeles Lakers,West,"Mar 29, 2004",SG,6-6,212,25,1996,7,2003-2004,2004,0.5
0,Vince Carter,Toronto Raptors,East,"Mar 21, 2004",SF,6-6,220,27,1998,5,2003-2004,2004,0.5
0,Shaquille O'Neal,Los Angeles Lakers,West,"Mar 21, 2004",C,7-1,325,31,1992,11,2003-2004,2004,0.5
0,Zydrunas Ilgauskas,Cleveland Cavaliers,East,"Mar 14, 2004",C,7-3,260,28,1996,7,2003-2004,2004,0.5
0,Carmelo Anthony,Denver Nuggets,West,"Mar 14, 2004",F,6-8,240,19,2003,0,2003-2004,2004,0.5
0,Lamar Odom,Miami Heat,East,"Mar 7, 2004",PF,6-10,230,24,1999,4,2003-2004,2004,0.5
0,Yao Ming,Houston Rockets,West,"Mar 7, 2004",C,7-6,310,23,2002,1,2003-2004,2004,0.5
0,Ben Wallace,Detroit Pistons,East,"Feb 29, 2004",FC,6-9,240,29,1996,7,2003-2004,2004,0.5
0,Andrei Kirilenko,Utah Jazz,West,"Feb 29, 2004",PF,6-9,235,23,1999,2,2003-2004,2004,0.5
0,Dwyane Wade,Miami Heat,East,"Feb 22, 2004",SG,6-4,220,22,2003,0,2003-2004,2004,0.5
0,Kobe Bryant,Los Angeles Lakers,West,"Feb 22, 2004",SG,6-6,212,25,1996,7,2003-2004,2004,0.5
0,Kenyon Martin,New Jersey Nets,East,"Feb 8, 2004",F,6-9,240,26,2000,3,2003-2004,2004,0.5
0,Tim Duncan,San Antonio Spurs,West,"Feb 8, 2004",FC,6-11,250,27,1997,6,2003-2004,2004,0.5
0,Jason Kidd,New Jersey Nets,East,"Feb 1, 2004",PG,6-4,210,30,1994,9,2003-2004,2004,0.5
0,Kevin Garnett,Minnesota Timberwolves,West,"Feb 1, 2004",PF,6-11,240,27,1995,8,2003-2004,2004,0.5
0,Carlos Boozer,Cleveland Cavaliers,East,"Jan 25, 2004",PF,6-9,266,22,2002,1,2003-2004,2004,0.5
0,Kevin Garnett,Minnesota Timberwolves,West,"Jan 25, 2004",PF,6-11,240,27,1995,8,2003-2004,2004,0.5
0,Stephon Marbury,New York Knicks,East,"Jan 18, 2004",G,6-2,180,27,1996,7,2003-2004,2004,0.5
0,Michael Finley,Dallas Mavericks,West,"Jan 18, 2004",G-F,6-7,225,30,1995,8,2003-2004,2004,0.5
0,Paul Pierce,Boston Celtics,East,"Jan 11, 2004",SF,6-7,235,26,1998,5,2003-2004,2004,0.5
0,Ray Allen,Seattle SuperSonics,West,"Jan 11, 2004",SG,6-5,205,28,1996,7,2003-2004,2004,0.5
0,Ben Wallace,Detroit Pistons,East,"Jan 4, 2004",FC,6-9,240,29,1996,7,2003-2004,2004,0.5
0,Elton Brand,Los Angeles Clippers,West,"Jan 4, 2004",PF,6-9,254,24,1999,4,2003-2004,2004,0.5
0,Jason Kidd,New Jersey Nets,East,"Dec 28, 2003",PG,6-4,210,30,1994,9,2003-2004,2004,0.5
0,Sam Cassell,Minnesota Timberwolves,West,"Dec 28, 2003",G,6-3,185,34,1993,10,2003-2004,2004,0.5
0,Tracy McGrady,Orlando Magic,East,"Dec 21, 2003",GF,6-8,210,24,1997,6,2003-2004,2004,0.5
0,Kevin Garnett,Minnesota Timberwolves,West,"Dec 21, 2003",PF,6-11,240,27,1995,8,2003-2004,2004,0.5
0,Paul Pierce,Boston Celtics,East,"Dec 14, 2003",SF,6-7,235,26,1998,5,2003-2004,2004,0.5
0,Peja Stojakovic,Sacramento Kings,West,"Dec 14, 2003",F,6-10,229,26,1996,5,2003-2004,2004,0.5
0,Vince Carter,Toronto Raptors,East,"Dec 7, 2003",SF,6-6,220,27,1998,5,2003-2004,2004,0.5
0,Shaquille O'Neal,Los Angeles Lakers,West,"Dec 7, 2003",C,7-1,325,31,1992,11,2003-2004,2004,0.5
0,Dikembe Mutombo,New York Knicks,East,"Nov 30, 2003",C,7-2,260,37,1991,12,2003-2004,2004,0.5
0,Voshon Lenard,Denver Nuggets,West,"Nov 30, 2003",SG,6-4,205,30,1994,8,2003-2004,2004,0.5
0,Chauncey Billups,Detroit Pistons,East,"Nov 23, 2003",G,6-3,210,27,1997,6,2003-2004,2004,0.5
